depth,dose,ssd,field_size
0,82.282727,100,10
0.025035,82.714814,100,10
0.05007,83.146903,100,10
0.075105,83.578994,100,10
0.10014,84.011085,100,10
0.125175,84.443178,100,10
0.15021,84.875272,100,10
0.175245,85.307367,100,10
0.200281,85.739464,100,10
0.225316,86.171562,100,10
0.250351,86.60969,100,10
0.275386,87.137334,100,10
0.300421,87.664979,100,10
0.325456,88.192626,100,10
0.350491,88.720274,100,10
0.375526,89.247924,100,10
0.400562,89.775575,100,10
0.425597,90.303227,100,10
0.450632,90.830881,100,10
0.475667,91.358536,100,10
0.500702,91.88032,100,10
0.525737,92.33183,100,10
0.550772,92.78334,100,10
0.575807,93.234851,100,10
0.600843,93.686361,100,10
0.625878,94.137872,100,10
0.650913,94.589382,100,10
0.675948,95.040893,100,10
0.700983,95.492404,100,10
0.726018,95.943914,100,10
0.751053,96.375743,100,10
0.776088,96.611307,100,10
0.801124,96.846869,100,10
0.826159,97.082427,100,10
0.851194,97.317982,100,10
0.876229,97.553534,100,10
0.901264,97.789082,100,10
0.926299,98.024627,100,10
0.951334,98.26017,100,10
0.976369,98.495709,100,10
1.001405,98.691266,100,10
1.02644,98.546674,100,10
1.051475,98.402078,100,10
1.07651,98.257479,100,10
1.101545,98.112876,100,10
1.12658,97.96827,100,10
1.151615,97.82366,100,10
1.17665,97.679046,100,10
1.201686,97.534428,100,10
1.226721,97.389807,100,10
1.251756,97.18538,100,10
1.276791,96.539033,100,10
1.301826,95.892687,100,10
1.326861,95.24634,100,10
1.351896,94.599994,100,10
1.376931,93.953649,100,10
1.401966,93.307304,100,10
1.427002,92.660959,100,10
1.452037,92.014614,100,10
1.477072,91.36827,100,10
1.502107,90.653763,100,10
1.527142,89.495755,100,10
1.552177,88.337749,100,10
1.577212,87.179744,100,10
1.602247,86.021741,100,10
1.627283,84.863739,100,10
1.652318,83.705739,100,10
1.677353,82.54774,100,10
1.702388,81.389743,100,10
1.727423,80.231748,100,10
1.752458,79.011978,100,10
1.777493,77.434434,100,10
1.802528,75.856888,100,10
1.827564,74.279342,100,10
1.852599,72.701796,100,10
1.877634,71.124248,100,10
1.902669,69.5467,100,10
1.927704,67.969151,100,10
1.952739,66.391601,100,10
1.977774,64.81405,100,10
2.002809,63.202224,100,10
2.027845,61.412136,100,10
2.05288,59.622047,100,10
2.077915,57.831957,100,10
2.10295,56.041865,100,10
2.127985,54.251771,100,10
2.15302,52.461676,100,10
2.178055,50.67158,100,10
2.20309,48.881482,100,10
2.228126,47.091383,100,10
2.253161,45.315102,100,10
2.278196,43.60384,100,10
2.303231,41.892578,100,10
2.328266,40.181316,100,10
2.353301,38.470054,100,10
2.378336,36.758793,100,10
2.403371,35.047531,100,10
2.428407,33.336269,100,10
2.453442,31.625007,100,10
2.478477,29.913745,100,10
2.503512,28.269577,100,10
2.528547,26.912719,100,10
2.553582,25.555863,100,10
2.578617,24.199007,100,10
2.603652,22.842153,100,10
2.628688,21.485299,100,10
2.653723,20.128447,100,10
2.678758,18.771596,100,10
2.703793,17.414745,100,10
2.728828,16.057896,100,10
2.753863,14.804001,100,10
2.778898,13.953473,100,10
2.803933,13.102947,100,10
2.828968,12.252421,100,10
2.854004,11.401897,100,10
2.879039,10.551373,100,10
2.904074,9.700851,100,10
2.929109,8.85033,100,10
2.954144,7.99981,100,10
2.979179,7.149291,100,10
3.004214,6.397315,100,10
3.029249,6.000156,100,10
3.054285,5.602998,100,10
3.07932,5.20584,100,10
3.104355,4.808682,100,10
3.12939,4.411525,100,10
3.154425,4.014368,100,10
3.17946,3.617211,100,10
3.204495,3.220055,100,10
3.22953,2.822899,100,10
3.254566,2.487057,100,10
3.279601,2.354887,100,10
3.304636,2.222718,100,10
3.329671,2.090548,100,10
3.354706,1.958378,100,10
3.379741,1.826208,100,10
3.404776,1.694038,100,10
3.429811,1.561868,100,10
3.454847,1.429698,100,10
3.479882,1.297528,100,10
3.504917,1.190139,100,10
3.529952,1.158951,100,10
3.554987,1.127762,100,10
3.580022,1.096574,100,10
3.605057,1.065385,100,10
3.630092,1.034196,100,10
3.655128,1.003008,100,10
3.680163,0.971819,100,10
3.705198,0.940631,100,10
3.730233,0.909442,100,10
3.755268,0.884673,100,10
3.780303,0.878229,100,10
3.805338,0.871786,100,10
3.830373,0.865342,100,10
3.855409,0.858898,100,10
3.880444,0.852455,100,10
3.905479,0.846011,100,10
