depth,dose,ssd,field_size
0,0,100,10
0.025012,27.40887927,100,10
0.050023,32.11526982,100,10
0.075035,36.82167776,100,10
0.100047,41.52810332,100,10
0.125058,46.23454651,100,10
0.15007,50.94100708,100,10
0.175082,55.64748528,100,10
0.200093,60.3539811,100,10
0.225105,65.06049455,100,10
0.250116,69.76702538,100,10
0.275128,72.73626162,100,10
0.30014,74.09660637,100,10
0.325151,75.45695186,100,10
0.350163,76.81729783,100,10
0.375175,78.17764454,100,10
0.400186,79.53799174,100,10
0.425198,80.89833967,100,10
0.45021,82.2586881,100,10
0.475221,83.61903725,100,10
0.500233,84.9793869,100,10
0.525245,86.14254718,100,10
0.550256,87.12612203,100,10
0.575268,88.10969957,100,10
0.600279,89.09328029,100,10
0.625291,90.0768642,100,10
0.650303,91.0604508,100,10
0.675314,92.04404083,100,10
0.700326,93.02763355,100,10
0.725338,94.01122945,100,10
0.750349,94.99482829,100,10
0.775361,95.61517304,100,10
0.800373,95.91017357,100,10
0.825384,96.20517386,100,10
0.850396,96.50017439,100,10
0.875408,96.79517491,100,10
0.900419,97.0901752,100,10
0.925431,97.38517573,100,10
0.950443,97.68017626,100,10
0.975454,97.97517654,100,10
1.000466,98.27017707,100,10
1.025477,98.4940382,100,10
1.050489,98.65524169,100,10
1.075501,98.81644469,100,10
1.100512,98.97764719,100,10
1.125524,99.13884897,100,10
1.150536,99.30005001,100,10
1.175547,99.46125056,100,10
1.200559,99.62245062,100,10
1.225571,99.78364994,100,10
1.250582,99.94484878,100,10
1.275594,100,100,10
1.300606,99.96330049,100,10
1.325617,99.92660123,100,10
1.350629,99.88990197,100,10
1.375641,99.85320247,100,10
1.400652,99.81650321,100,10
1.425664,99.77980395,100,10
1.450675,99.74310444,100,10
1.475687,99.70640518,100,10
1.500699,99.66970592,100,10
1.52571,99.62056777,100,10
1.550722,99.56083538,100,10
1.575734,99.50110201,100,10
1.600745,99.44136816,100,10
1.625757,99.38163381,100,10
1.650769,99.32189873,100,10
1.67578,99.26216316,100,10
1.700792,99.20242686,100,10
1.725804,99.14269007,100,10
1.750815,99.08295254,100,10
1.775827,98.99734378,100,10
1.800838,98.89006696,100,10
1.82585,98.78279015,100,10
1.850862,98.67551334,100,10
1.875873,98.56823652,100,10
1.900885,98.46095971,100,10
1.925897,98.35368289,100,10
1.950908,98.24640608,100,10
1.97592,98.13912926,100,10
2.000932,98.0318527,100,10
2.025943,97.92405737,100,10
2.050955,97.81583509,100,10
2.075967,97.70761208,100,10
2.100978,97.59938858,100,10
2.12599,97.49116434,100,10
2.151002,97.38293937,100,10
2.176013,97.27471391,100,10
2.201025,97.16648796,100,10
2.226036,97.05826128,100,10
2.251048,96.9500341,100,10
2.27606,96.83198728,100,10
2.301071,96.70598847,100,10
2.326083,96.57998992,100,10
2.351095,96.45399136,100,10
2.376106,96.3279928,100,10
2.401118,96.20199424,100,10
2.42613,96.07599568,100,10
2.451141,95.94999712,100,10
2.476153,95.82399856,100,10
2.501165,95.69800001,100,10
2.526176,95.57203768,100,10
2.551188,95.44610081,100,10
2.576199,95.32015905,100,10
2.601211,95.19421239,100,10
2.626223,95.06826084,100,10
2.651234,94.94230439,100,10
2.676246,94.81634328,100,10
2.701258,94.69037729,100,10
2.726269,94.56440639,100,10
2.751281,94.4384306,100,10
2.776293,94.30898582,100,10
2.801304,94.1768278,100,10
2.826316,94.04467002,100,10
2.851328,93.91251199,100,10
2.876339,93.78035421,100,10
2.901351,93.64819619,100,10
2.926363,93.5160384,100,10
2.951374,93.38388038,100,10
2.976386,93.2517226,100,10
3.001397,93.11956457,100,10
3.026409,92.99269815,100,10
3.051421,92.8699032,100,10
3.076432,92.74710556,100,10
3.101444,92.62430547,100,10
3.126456,92.50150293,100,10
3.151467,92.37869819,100,10
3.176479,92.255891,100,10
3.201491,92.13308136,100,10
3.226502,92.01026927,100,10
3.251514,91.88745474,100,10
3.276526,91.76175901,100,10
3.301537,91.6338847,100,10
3.326549,91.50601015,100,10
3.35156,91.3781356,100,10
