depth,dose,ssd,field_size
0,22.6963232,100,10
1,23.76305039,100,10
2,24.98865184,100,10
3,26.57739446,100,10
4,28.23422606,100,10
5,31.18474807,100,10
6,36.04176123,100,10
7,44.7117567,100,10
7.5,57.44439401,100,10
7.7,70.31320926,100,10
7.9,96.5728552,100,10
7.925,98.88788016,100,10
7.95,100,100,10
7.975,98.70630958,100,10
8,93.57694054,100,10
8.1,62.30140717,100,10
8.2,23.96731729,100,10
8.3,5.015887426,100,10
8.5,0.113481616,100,10
9,0.090785293,100,10
9.5,0.090785293,100,10
10,0.090785293,100,10
