offset,dose,field_size,depth
-25.00,3.11,10,5.00
-24.90,4.29,10,5.00
-24.80,5.47,10,5.00
-24.70,6.15,10,5.00
-24.60,6.33,10,5.00
-24.50,6.51,10,5.00
-24.40,6.69,10,5.00
-24.30,6.87,10,5.00
-24.20,7.05,10,5.00
-24.10,7.23,10,5.00
-24.00,7.41,10,5.00
-23.90,7.59,10,5.00
-23.80,7.77,10,5.00
-23.70,7.95,10,5.00
-23.60,8.13,10,5.00
-23.50,8.31,10,5.00
-23.40,8.49,10,5.00
-23.30,8.67,10,5.00
-23.20,8.83,10,5.00
-23.10,8.98,10,5.00
-23.00,9.13,10,5.00
-22.90,9.37,10,5.00
-22.80,9.61,10,5.00
-22.70,9.86,10,5.00
-22.60,10.10,10,5.00
-22.50,10.34,10,5.00
-22.40,10.58,10,5.00
-22.30,10.82,10,5.00
-22.20,11.07,10,5.00
-22.10,11.34,10,5.00
-22.00,11.60,10,5.00
-21.90,11.84,10,5.00
-21.80,12.08,10,5.00
-21.70,12.74,10,5.00
-21.60,13.83,10,5.00
-21.50,14.91,10,5.00
-21.40,19.34,10,5.00
-21.30,23.78,10,5.00
-21.20,31.44,10,5.00
-21.10,42.34,10,5.00
-21.00,53.23,10,5.00
-20.90,64.95,10,5.00
-20.80,76.67,10,5.00
-20.70,84.42,10,5.00
-20.60,88.20,10,5.00
-20.50,91.97,10,5.00
-20.40,92.69,10,5.00
-20.30,93.40,10,5.00
-20.20,94.04,10,5.00
-20.10,94.59,10,5.00
-20.00,95.14,10,5.00
-19.90,95.41,10,5.00
-19.80,95.67,10,5.00
-19.70,95.94,10,5.00
-19.60,96.19,10,5.00
-19.50,96.45,10,5.00
-19.40,96.63,10,5.00
-19.30,96.82,10,5.00
-19.20,96.99,10,5.00
-19.10,97.15,10,5.00
-19.00,97.32,10,5.00
-18.90,97.45,10,5.00
-18.80,97.57,10,5.00
-18.70,97.70,10,5.00
-18.60,97.81,10,5.00
-18.50,97.93,10,5.00
-18.40,98.06,10,5.00
-18.30,98.18,10,5.00
-18.20,98.28,10,5.00
-18.10,98.37,10,5.00
-18.00,98.46,10,5.00
-17.90,98.55,10,5.00
-17.80,98.64,10,5.00
-17.70,98.73,10,5.00
-17.60,98.81,10,5.00
-17.50,98.88,10,5.00
-17.40,98.97,10,5.00
-17.30,99.06,10,5.00
-17.20,99.14,10,5.00
-17.10,99.21,10,5.00
-17.00,99.28,10,5.00
-16.90,99.35,10,5.00
-16.80,99.41,10,5.00
-16.70,99.47,10,5.00
-16.60,99.53,10,5.00
-16.50,99.59,10,5.00
-16.40,99.65,10,5.00
-16.30,99.72,10,5.00
-16.20,99.76,10,5.00
-16.10,99.79,10,5.00
-16.00,99.81,10,5.00
-15.90,99.85,10,5.00
-15.80,99.89,10,5.00
-15.70,99.91,10,5.00
-15.60,99.91,10,5.00
-15.50,99.92,10,5.00
-15.40,99.94,10,5.00
-15.30,99.97,10,5.00
-15.20,99.98,10,5.00
-15.10,99.99,10,5.00
-15.00,100.00,10,5.00
-14.90,100.01,10,5.00
-14.80,100.02,10,5.00
-14.70,100.02,10,5.00
-14.60,100.02,10,5.00
-14.50,100.02,10,5.00
-14.40,100.02,10,5.00
-14.30,100.02,10,5.00
-14.20,100.02,10,5.00
-14.10,100.03,10,5.00
-14.00,100.04,10,5.00
-13.90,100.04,10,5.00
-13.80,100.03,10,5.00
-13.70,100.03,10,5.00
-13.60,100.04,10,5.00
-13.50,100.04,10,5.00
-13.40,100.04,10,5.00
-13.30,100.04,10,5.00
-13.20,100.05,10,5.00
-13.10,100.05,10,5.00
-13.00,100.06,10,5.00
-12.90,100.06,10,5.00
-12.80,100.06,10,5.00
-12.70,100.06,10,5.00
-12.60,100.07,10,5.00
-12.50,100.07,10,5.00
-12.40,100.07,10,5.00
-12.30,100.06,10,5.00
-12.20,100.06,10,5.00
-12.10,100.07,10,5.00
-12.00,100.07,10,5.00
-11.90,100.05,10,5.00
-11.80,100.04,10,5.00
-11.70,100.03,10,5.00
-11.60,100.04,10,5.00
-11.50,100.04,10,5.00
-11.40,100.02,10,5.00
-11.30,99.99,10,5.00
-11.20,99.98,10,5.00
-11.10,99.99,10,5.00
-11.00,100.00,10,5.00
-10.90,99.98,10,5.00
-10.80,99.95,10,5.00
-10.70,99.94,10,5.00
-10.60,99.93,10,5.00
-10.50,99.93,10,5.00
-10.40,99.91,10,5.00
-10.30,99.89,10,5.00
-10.20,99.87,10,5.00
-10.10,99.86,10,5.00
-10.00,99.85,10,5.00
-9.90,99.83,10,5.00
-9.80,99.81,10,5.00
-9.70,99.79,10,5.00
-9.60,99.79,10,5.00
-9.50,99.78,10,5.00
-9.40,99.76,10,5.00
-9.30,99.73,10,5.00
-9.20,99.72,10,5.00
-9.10,99.72,10,5.00
-9.00,99.72,10,5.00
-8.90,99.70,10,5.00
-8.80,99.67,10,5.00
-8.70,99.66,10,5.00
