offset,dose,field_size,depth
-10.00,0.30,10,1.25
-9.90,0.31,10,1.25
-9.80,0.32,10,1.25
-9.70,0.32,10,1.25
-9.60,0.33,10,1.25
-9.50,0.34,10,1.25
-9.40,0.35,10,1.25
-9.30,0.36,10,1.25
-9.20,0.36,10,1.25
-9.10,0.37,10,1.25
-9.00,0.38,10,1.25
-8.90,0.39,10,1.25
-8.80,0.39,10,1.25
-8.70,0.40,10,1.25
-8.60,0.41,10,1.25
-8.50,0.41,10,1.25
-8.40,0.43,10,1.25
-8.30,0.44,10,1.25
-8.20,0.46,10,1.25
-8.10,0.48,10,1.25
-8.00,0.49,10,1.25
-7.90,0.51,10,1.25
-7.80,0.52,10,1.25
-7.70,0.54,10,1.25
-7.60,0.55,10,1.25
-7.50,0.57,10,1.25
-7.40,0.58,10,1.25
-7.30,0.60,10,1.25
-7.20,0.61,10,1.25
-7.10,0.63,10,1.25
-7.00,0.65,10,1.25
-6.90,0.66,10,1.25
-6.80,0.68,10,1.25
-6.70,0.69,10,1.25
-6.60,0.71,10,1.25
-6.50,0.72,10,1.25
-6.40,0.74,10,1.25
-6.30,0.76,10,1.25
-6.20,0.78,10,1.25
-6.10,0.81,10,1.25
-6.00,0.84,10,1.25
-5.90,0.88,10,1.25
-5.80,0.91,10,1.25
-5.70,0.94,10,1.25
-5.60,0.97,10,1.25
-5.50,1.00,10,1.25
-5.40,1.03,10,1.25
-5.30,1.06,10,1.25
-5.20,1.09,10,1.25
-5.10,1.13,10,1.25
-5.00,1.16,10,1.25
-4.90,1.19,10,1.25
-4.80,1.22,10,1.25
-4.70,1.25,10,1.25
-4.60,1.28,10,1.25
-4.50,1.31,10,1.25
-4.40,1.35,10,1.25
-4.30,1.38,10,1.25
-4.20,1.43,10,1.25
-4.10,1.51,10,1.25
-4.00,1.59,10,1.25
-3.90,1.67,10,1.25
-3.80,1.75,10,1.25
-3.70,1.83,10,1.25
-3.60,1.91,10,1.25
-3.50,1.99,10,1.25
-3.40,2.40,10,1.25
-3.30,2.81,10,1.25
-3.20,3.37,10,1.25
-3.10,4.08,10,1.25
-3.00,4.78,10,1.25
-2.90,9.81,10,1.25
-2.80,14.84,10,1.25
-2.70,24.89,10,1.25
-2.60,39.99,10,1.25
-2.50,55.08,10,1.25
-2.40,66.80,10,1.25
-2.30,78.52,10,1.25
-2.20,85.83,10,1.25
-2.10,88.74,10,1.25
-2.00,91.64,10,1.25
-1.90,92.59,10,1.25
-1.80,93.53,10,1.25
-1.70,94.00,10,1.25
-1.60,93.99,10,1.25
-1.50,93.98,10,1.25
-1.40,94.03,10,1.25
-1.30,94.07,10,1.25
-1.20,94.13,10,1.25
-1.10,94.20,10,1.25
-1.00,94.27,10,1.25
-0.90,94.28,10,1.25
-0.80,94.28,10,1.25
-0.70,94.28,10,1.25
-0.60,94.28,10,1.25
-0.50,94.27,10,1.25
-0.40,94.24,10,1.25
-0.30,94.22,10,1.25
-0.20,94.19,10,1.25
-0.10,94.16,10,1.25
0.00,94.13,10,1.25
0.10,94.15,10,1.25
0.20,94.18,10,1.25
0.30,94.20,10,1.25
0.40,94.23,10,1.25
0.50,94.25,10,1.25
0.60,94.26,10,1.25
0.70,94.28,10,1.25
0.80,94.27,10,1.25
0.90,94.25,10,1.25
1.00,94.22,10,1.25
1.10,94.21,10,1.25
1.20,94.19,10,1.25
1.30,94.17,10,1.25
1.40,94.15,10,1.25
1.50,94.12,10,1.25
1.60,93.86,10,1.25
1.70,93.60,10,1.25
1.80,93.19,10,1.25
1.90,92.64,10,1.25
2.00,92.10,10,1.25
2.10,88.94,10,1.25
2.20,85.79,10,1.25
2.30,78.32,10,1.25
2.40,66.52,10,1.25
2.50,54.73,10,1.25
2.60,39.81,10,1.25
2.70,24.89,10,1.25
2.80,14.92,10,1.25
2.90,9.90,10,1.25
3.00,4.88,10,1.25
3.10,4.03,10,1.25
3.20,3.18,10,1.25
3.30,2.65,10,1.25
3.40,2.43,10,1.25
3.50,2.21,10,1.25
3.60,2.06,10,1.25
3.70,1.91,10,1.25
3.80,1.79,10,1.25
3.90,1.72,10,1.25
4.00,1.64,10,1.25
4.10,1.56,10,1.25
4.20,1.48,10,1.25
4.30,1.40,10,1.25
4.40,1.32,10,1.25
4.50,1.24,10,1.25
4.60,1.22,10,1.25
4.70,1.21,10,1.25
4.80,1.18,10,1.25
4.90,1.14,10,1.25
5.00,1.10,10,1.25
5.10,1.06,10,1.25
5.20,1.02,10,1.25
5.30,0.98,10,1.25
5.40,0.94,10,1.25
5.50,0.90,10,1.25
5.60,0.88,10,1.25
5.70,0.87,10,1.25
5.80,0.86,10,1.25
5.90,0.84,10,1.25
6.00,0.83,10,1.25
6.10,0.81,10,1.25
6.20,0.79,10,1.25
6.30,0.77,10,1.25
6.40,0.76,10,1.25
6.50,0.74,10,1.25
6.60,0.72,10,1.25
