offset,dose,field_size,depth
-15.00,1.52,10,1.25
-14.90,1.55,10,1.25
-14.80,1.58,10,1.25
-14.70,1.62,10,1.25
-14.60,1.65,10,1.25
-14.50,1.68,10,1.25
-14.40,1.71,10,1.25
-14.30,1.74,10,1.25
-14.20,1.77,10,1.25
-14.10,1.78,10,1.25
-14.00,1.80,10,1.25
-13.90,1.84,10,1.25
-13.80,1.88,10,1.25
-13.70,1.92,10,1.25
-13.60,1.96,10,1.25
-13.50,2.00,10,1.25
-13.40,2.04,10,1.25
-13.30,2.08,10,1.25
-13.20,2.11,10,1.25
-13.10,2.13,10,1.25
-13.00,2.15,10,1.25
-12.90,2.21,10,1.25
-12.80,2.26,10,1.25
-12.70,2.32,10,1.25
-12.60,2.37,10,1.25
-12.50,2.43,10,1.25
-12.40,2.48,10,1.25
-12.30,2.54,10,1.25
-12.20,2.58,10,1.25
-12.10,2.60,10,1.25
-12.00,2.62,10,1.25
-11.90,2.73,10,1.25
-11.80,2.84,10,1.25
-11.70,2.94,10,1.25
-11.60,3.05,10,1.25
-11.50,3.16,10,1.25
-11.40,3.27,10,1.25
-11.30,3.37,10,1.25
-11.20,3.50,10,1.25
-11.10,3.65,10,1.25
-11.00,3.80,10,1.25
-10.90,3.84,10,1.25
-10.80,3.88,10,1.25
-10.70,4.90,10,1.25
-10.60,6.89,10,1.25
-10.50,8.89,10,1.25
-10.40,15.32,10,1.25
-10.30,21.76,10,1.25
-10.20,31.36,10,1.25
-10.10,44.14,10,1.25
-10.00,56.92,10,1.25
-9.90,63.51,10,1.25
-9.80,70.10,10,1.25
-9.70,74.41,10,1.25
-9.60,76.43,10,1.25
-9.50,78.45,10,1.25
-9.40,78.81,10,1.25
-9.30,79.17,10,1.25
-9.20,79.56,10,1.25
-9.10,79.99,10,1.25
-9.00,80.42,10,1.25
-8.90,80.78,10,1.25
-8.80,81.14,10,1.25
-8.70,81.50,10,1.25
-8.60,81.85,10,1.25
-8.50,82.20,10,1.25
-8.40,82.53,10,1.25
-8.30,82.86,10,1.25
-8.20,83.19,10,1.25
-8.10,83.53,10,1.25
-8.00,83.86,10,1.25
-7.90,84.17,10,1.25
-7.80,84.48,10,1.25
-7.70,84.79,10,1.25
-7.60,85.11,10,1.25
-7.50,85.43,10,1.25
-7.40,85.75,10,1.25
-7.30,86.06,10,1.25
-7.20,86.38,10,1.25
-7.10,86.71,10,1.25
-7.00,87.03,10,1.25
-6.90,87.35,10,1.25
-6.80,87.67,10,1.25
-6.70,87.98,10,1.25
-6.60,88.29,10,1.25
-6.50,88.60,10,1.25
-6.40,88.93,10,1.25
-6.30,89.26,10,1.25
-6.20,89.58,10,1.25
-6.10,89.88,10,1.25
-6.00,90.19,10,1.25
-5.90,90.52,10,1.25
-5.80,90.85,10,1.25
-5.70,91.16,10,1.25
-5.60,91.45,10,1.25
-5.50,91.74,10,1.25
-5.40,92.08,10,1.25
-5.30,92.41,10,1.25
-5.20,92.72,10,1.25
-5.10,92.99,10,1.25
-5.00,93.27,10,1.25
-4.90,93.59,10,1.25
-4.80,93.92,10,1.25
-4.70,94.22,10,1.25
-4.60,94.48,10,1.25
-4.50,94.74,10,1.25
-4.40,95.06,10,1.25
-4.30,95.38,10,1.25
-4.20,95.67,10,1.25
-4.10,95.92,10,1.25
-4.00,96.17,10,1.25
-3.90,96.47,10,1.25
-3.80,96.77,10,1.25
-3.70,97.03,10,1.25
-3.60,97.26,10,1.25
-3.50,97.50,10,1.25
-3.40,97.78,10,1.25
-3.30,98.07,10,1.25
-3.20,98.33,10,1.25
-3.10,98.56,10,1.25
-3.00,98.79,10,1.25
-2.90,99.03,10,1.25
-2.80,99.27,10,1.25
-2.70,99.49,10,1.25
-2.60,99.71,10,1.25
-2.50,99.92,10,1.25
-2.40,100.11,10,1.25
-2.30,100.31,10,1.25
-2.20,100.51,10,1.25
-2.10,100.71,10,1.25
-2.00,100.92,10,1.25
-1.90,101.11,10,1.25
-1.80,101.29,10,1.25
-1.70,101.47,10,1.25
-1.60,101.63,10,1.25
-1.50,101.80,10,1.25
-1.40,101.91,10,1.25
-1.30,102.01,10,1.25
-1.20,102.11,10,1.25
-1.10,102.21,10,1.25
-1.00,102.30,10,1.25
-0.90,102.38,10,1.25
-0.80,102.46,10,1.25
-0.70,102.54,10,1.25
-0.60,102.62,10,1.25
-0.50,102.71,10,1.25
-0.40,102.77,10,1.25
-0.30,102.83,10,1.25
-0.20,102.88,10,1.25
-0.10,102.91,10,1.25
0.00,102.95,10,1.25
0.10,102.92,10,1.25
0.20,102.89,10,1.25
0.30,102.84,10,1.25
0.40,102.77,10,1.25
0.50,102.69,10,1.25
0.60,102.62,10,1.25
0.70,102.54,10,1.25
0.80,102.46,10,1.25
0.90,102.37,10,1.25
1.00,102.28,10,1.25
1.10,102.20,10,1.25
1.20,102.12,10,1.25
1.30,102.02,10,1.25
1.40,101.90,10,1.25
1.50,101.78,10,1.25
1.60,101.63,10,1.25
1.70,101.47,10,1.25
1.80,101.30,10,1.25
1.90,101.10,10,1.25
2.00,100.90,10,1.25
2.10,100.71,10,1.25
2.20,100.52,10,1.25
2.30,100.32,10,1.25
2.40,100.10,10,1.25
2.50,99.89,10,1.25
2.60,99.69,10,1.25
2.70,99.49,10,1.25
2.80,99.27,10,1.25
2.90,99.04,10,1.25
3.00,98.81,10,1.25
3.10,98.54,10,1.25
3.20,98.27,10,1.25
3.30,98.03,10,1.25
3.40,97.80,10,1.25
3.50,97.57,10,1.25
3.60,97.28,10,1.25
3.70,96.98,10,1.25
3.80,96.71,10,1.25
3.90,96.47,10,1.25
4.00,96.23,10,1.25
4.10,95.92,10,1.25
4.20,95.61,10,1.25
4.30,95.33,10,1.25
4.40,95.07,10,1.25
4.50,94.82,10,1.25
4.60,94.49,10,1.25
4.70,94.17,10,1.25
4.80,93.87,10,1.25
4.90,93.60,10,1.25
5.00,93.34,10,1.25
5.10,93.01,10,1.25
5.20,92.68,10,1.25
5.30,92.37,10,1.25
5.40,92.10,10,1.25
5.50,91.82,10,1.25
5.60,91.48,10,1.25
5.70,91.14,10,1.25
5.80,90.82,10,1.25
5.90,90.52,10,1.25
6.00,90.23,10,1.25
6.10,89.90,10,1.25
6.20,89.57,10,1.25
6.30,89.26,10,1.25
