offset,dose,field_size,depth
-7.225786,0.097114,2,5
-7.20075,0.09768,2,5
-7.175713,0.098246,2,5
-7.150676,0.098811,2,5
-7.12564,0.099377,2,5
-7.100603,0.099942,2,5
-7.075566,0.100508,2,5
-7.05053,0.101073,2,5
-7.025493,0.101639,2,5
-7.000457,0.102204,2,5
-6.97542,0.10277,2,5
-6.950383,0.103336,2,5
-6.925347,0.103901,2,5
-6.90031,0.104467,2,5
-6.875273,0.105032,2,5
-6.850237,0.105598,2,5
-6.8252,0.106163,2,5
-6.800163,0.106729,2,5
-6.775127,0.107294,2,5
-6.75009,0.108076,2,5
-6.725053,0.108922,2,5
-6.700017,0.109769,2,5
-6.67498,0.110615,2,5
-6.649944,0.111461,2,5
-6.624907,0.112307,2,5
-6.59987,0.113153,2,5
-6.574834,0.113999,2,5
-6.549797,0.114846,2,5
-6.52476,0.115692,2,5
-6.499724,0.116318,2,5
-6.474687,0.116883,2,5
-6.44965,0.117449,2,5
-6.424614,0.118014,2,5
-6.399577,0.11858,2,5
-6.37454,0.119145,2,5
-6.349504,0.119711,2,5
-6.324467,0.120276,2,5
-6.299431,0.120842,2,5
-6.274394,0.121408,2,5
-6.249357,0.122441,2,5
-6.224321,0.123593,2,5
-6.199284,0.124744,2,5
-6.174247,0.125895,2,5
-6.149211,0.127046,2,5
-6.124174,0.128197,2,5
-6.099137,0.129348,2,5
-6.074101,0.130499,2,5
-6.049064,0.13165,2,5
-6.024028,0.132802,2,5
-5.998991,0.134395,2,5
-5.973954,0.13609,2,5
-5.948918,0.137784,2,5
-5.923881,0.139479,2,5
-5.898844,0.141173,2,5
-5.873808,0.142868,2,5
-5.848771,0.144562,2,5
-5.823734,0.146257,2,5
-5.798698,0.147951,2,5
-5.773661,0.149646,2,5
-5.748624,0.151342,2,5
-5.723588,0.153038,2,5
-5.698551,0.154735,2,5
-5.673515,0.156432,2,5
-5.648478,0.158128,2,5
-5.623441,0.159825,2,5
-5.598405,0.161521,2,5
-5.573368,0.163218,2,5
-5.548331,0.164915,2,5
-5.523295,0.166611,2,5
-5.498258,0.168306,2,5
-5.473221,0.170001,2,5
-5.448185,0.171695,2,5
-5.423148,0.17339,2,5
-5.398111,0.175084,2,5
-5.373075,0.176779,2,5
-5.348038,0.178473,2,5
-5.323002,0.180167,2,5
-5.297965,0.181862,2,5
-5.272928,0.183556,2,5
-5.247892,0.185253,2,5
-5.222855,0.186949,2,5
-5.197818,0.188646,2,5
-5.172782,0.190343,2,5
-5.147745,0.192039,2,5
-5.122708,0.193736,2,5
-5.097672,0.195432,2,5
-5.072635,0.197129,2,5
-5.047599,0.198826,2,5
-5.022562,0.200522,2,5
-4.997525,0.202217,2,5
-4.972489,0.203912,2,5
-4.947452,0.205606,2,5
-4.922415,0.2073,2,5
-4.897379,0.208995,2,5
-4.872342,0.210689,2,5
-4.847305,0.212384,2,5
-4.822269,0.214078,2,5
-4.797232,0.215773,2,5
-4.772195,0.217467,2,5
-4.747159,0.219164,2,5
